y_predicted_descaled_tempC,y_predicted_descaled_windspeedKmph,y_predicted_descaled_pressure,y_predicted_descaled_humidity
32.301617,5.240797,1002.7682,19.32687
34.26126,4.636886,1003.26965,17.499945
36.58089,4.35211,1003.92725,15.595439
38.727844,4.013868,1004.3991,13.709114
40.091026,4.140583,1004.6008,12.206131
40.61897,3.972215,1004.5268,11.633924
40.174118,4.1489363,1004.1303,11.898397
39.425293,5.0453005,1003.4491,12.3832245
38.844315,7.469005,1002.7256,12.8074465
38.06582,10.65932,1002.2051,13.282203
37.16458,13.133986,1001.9833,14.032735
36.18247,15.374336,1002.149,15.15804
34.97828,16.680285,1002.68646,16.63259
33.937145,17.52195,1003.401,18.256847
33.099728,18.11174,1004.172,20.18496
32.157997,18.319973,1004.92706,22.264763
31.112509,18.257303,1005.47986,24.301966
30.121222,16.99633,1005.6728,26.254585
29.264805,16.008915,1005.61566,28.227081
28.659145,14.622044,1005.5967,30.179884
28.158218,12.389861,1005.84564,31.959476
27.606941,10.843542,1006.3179,33.222595
27.664227,10.532052,1006.76514,33.155926
28.694752,10.657499,1007.116,31.294914
30.161877,11.59305,1007.4821,28.186981
31.935886,12.540877,1007.8868,24.66188
33.943066,12.384555,1008.18713,20.90847
35.848217,12.292507,1008.1985,16.954666
37.25086,12.199677,1007.81683,13.656629
38.117817,12.704996,1007.0831,11.784968
38.542076,13.6641865,1006.1824,10.925943
38.72981,14.482086,1005.3183,10.169135
38.571632,14.414137,1004.78925,9.688882
38.018883,13.947267,1004.7112,9.888477
37.16219,13.032978,1004.95,10.5182905
35.81202,12.1478615,1005.20514,11.396273
33.677937,11.40288,1005.2924,12.499966
31.610817,11.133386,1005.3073,13.872756
30.698406,11.056135,1005.4813,15.299542
30.173656,10.986524,1005.8523,16.352001
29.302757,11.013662,1006.1273,17.547384
28.618847,10.941751,1006.05414,19.273869
28.051313,10.724887,1005.6562,21.13469
27.293104,10.22596,1005.1819,22.599037
26.755882,9.74686,1004.9616,23.98218
26.58757,9.07842,1005.0787,24.991463
26.655207,8.4125805,1005.3035,24.89074
27.557524,8.465147,1005.472,23.685566
29.407137,8.8453,1005.6785,21.791924
31.660322,9.622766,1005.97437,19.330845
33.93163,11.044974,1006.1382,16.698235
35.84456,12.928634,1005.96783,14.336551
37.35513,14.416661,1005.44354,12.446273
38.509453,15.454283,1004.60693,11.251635
38.90233,15.629623,1003.60034,10.761045
38.7777,15.199696,1002.6787,10.547717
38.645317,13.471159,1002.05725,10.646838
38.36614,11.133316,1001.7434,11.198492
37.496532,9.012275,1001.5703,12.020972
35.852764,7.4748235,1001.49286,13.290999
33.623425,6.64133,1001.5744,15.286509
31.55901,6.466535,1001.8734,17.34573
30.36755,7.0947657,1002.33777,18.506166
29.772594,7.8907495,1002.7996,18.977798
29.229086,8.530005,1003.11786,19.673536
28.671257,8.498703,1003.2071,20.491207
28.008118,8.065848,1003.1164,21.415089
27.066662,7.329137,1003.0218,22.544235
26.078094,5.6267123,1003.0348,23.970774
25.54953,3.7571275,1003.12524,24.847498
25.794205,2.7499287,1003.21594,24.444784
26.939516,2.8224118,1003.3248,22.516706
29.251797,3.9138858,1003.56903,19.555752
32.290375,5.2850394,1003.9132,16.707537
35.00708,7.2046757,1004.11066,14.540273
